combination,result
+6+0,"Выраженная потребность в отдыхе, состояние тревоги, беспокойство, переживание конфликта, усталость, перенапряжение. Тревожные опасения за свое здоровье. Проблемы субъективно переживаются как трудно преодолимые. Страх перед будущим. Потребность в понимании и защите от стрессов, в покое и расслаблении. Повышенная чувствительность к средовым воздействиям. Стремление освободиться от избыточной и обременительной ответственности, снижение социальной активности. Страх перед надвигающейся опасностью и трудностями."
+6+1,"Потребность в избавлении от усталости и конфликтов. Повышенная тревожность, страх одиночества. Потребность в помощи, понимании, теплых отношениях и поддержке. Физическое переутомление, ухудшение самочувствия. Избыточный самоконтроль, гиперсоциальность установок, ориентация на общепринятые нормы поведения как защита от конфликтов с окружающими. Зависимость от объекта аффилиативной привязанности. Зажатость, отсутствие спонтанности поступков и высказываний. Повышенные требования к себе и окружающим в вопросах морали."
+6+2,"Проблема сдерживаемой раздражительности. Предрасположенность к физиологическим расстройствам. Повышенная утомляемость, перенапряжение контролирующих систем. Потребность в расслаблении и отдыхе, избавлении от напряженных отношений, переживаемых как враждебный настрой окружающих лиц, недоброжелательность с их стороны. Большие усилия затрачиваются на сдерживание собственных эмоций раздражения и обиды. Раздражает отсутствие привычного стереотипа."
+6+3,"Напряженность физиологических потребностей, неудовлетворенная чувственность. Проблема сдерживания спонтанной (непосредственной) самоактуализации, собственной авторитарности во избежание нарастания конфликта и для сохранения объекта привязанности. Повышенная нервозность, неуверенность в себе. Непривычная обстановка, выбивающая из колеи."
+6+4,"Состояние эмоциональной напряженности, неустойчивость фона настроения, повышенная тревожность. Стремление уйти от сложностей, избавиться от гнетущего чувства ответственности. Потребность в ограничении круга обязанностей, страх перед трудностями, опасения за свое здоровье; потребность в расслаблении и отдыхе, удобной и комфортной обстановке."
+6+5,"Напряженность физиологических потребностей, неудовлетворенность, дискомфорт. Выраженная избирательность в вопросах вкуса, потребность в особых условиях, разборчивость, причудливость выбора. Трудности адаптации к новым условиям. Повышенная чувствительность к средовым воздействиям."
+6+7,"Эмоциональная напряженность, физиологический дискомфорт, потребность в покое. Ситуация воспринимается как трудно разрешимая. Горечь разочарования, неудовлетворенность собой, избыточная самокритичность. Пассивный протест против сложившихся обстоятельств."
+7,"Протестная реакция на сложившуюся ситуацию. Отстаивание собственной точки зрения. Субъективная оценка обстоятельств, непримиримое отношение к позиции окружающих, нетерпимость к мнению других. Противодействие внешнему давлению, средовым воздействиям, протест против судьбы."
+7+0,"Негативно-протестная реакция, напряженность, стресс. Пессимистическая оценка ситуации. Сопротивление внешним обстоятельствам, давлению средовых воздействий. Стремление отстоять собственную позицию ограничением контактов, пассивным противодействием. Аутичность, отход от привычного круга контактов. Неудовлетворены ведущие потребности."
+7+1,"Состояние характеризуется выраженной неустойчивостью. Протестная реакция на обстоятельства, нарушающие покой, затрудняющие самореализацию личности, не может в полной мере проявиться в поведении и высказываниях из-за подключившегося контроля над эмоциями. Вегето-эмоциональная неустойчивость усиливается в связи с блокированностью потребностей, которые обозначены ниже. Раздражительная слабость, функциональные нарушения психосоматического круга."
+7+2,Протестная реакция в ответ на убежденность в недоброжелательности значимых окружающих или их попытки ограничить действия и самостоятельность обследуемого лица. Упорство в отстаивании собственного мнения и своей независимости. Внешнеобвиняющий тип реагирования. Акцентированы черты недоверчивости. Склонность к формированию жесткой субъективной схемы конфликтных межличностных отношений.
+7+3,Протестная реакция на средовые воздействия с избыточной возбудимостью. Повышенная импульсивность. Склонность к неожиданным своевольным поступкам в состоянии аффекта. Возможны деструктивные агрессивные тенденции.
+7+4,"Протестная реакция в ситуации выраженной эмоциональной напряженности. Негативизм в отношении средовых воздействий сочетается с эмоциональной неустойчивостью, иррациональными страхами. Потребность в избавлении от непереносимой ситуации может спровоцировать необдуманные импульсивные высказывания. Отчаянные поиски выхода из ситуации трудно прогнозируемы и могут проявиться в аутоагрессивной (направленной на себя) форме и других иррациональных поступках на фоне сниженного инстинкта самосохранения."
+7+5,"Негативная реакция на ситуацию личности своеобразной, ориентированной лишь на собственное субъективное мнение. Ирреальные требования к жизни, потребность в идеалах, которые не могут быть воплощены в реальность. Категоричность и необычность суждений, жесткость позиции, невозможность каких-либо компромиссов в отношениях с окружающими, убежденность в своей исключительности, пренебрежение к общепринятым канонам. Склонность к иррациональным решениям. Проявления социальной дезадаптации."
+7+6,"Состояние выраженной социально-психологической дезадаптации. Ощущение разочарования, диссонанса между идеальными представлениями и грубой реальностью. Потребность в покое и расслаблении, освобождении от стресса. Неприятие ситуации, протест, непримиримость. Перенапряжение физическое и душевное. Тревожная и болезненная оценка своего самочувствия."
х0,""
х0х1,"Пассивность в данный момент связана с обстоятельствами, затрудняющими завязывание взаимно удовлетворяющих отношений."
х0х2,"Несмотря на сложность ситуации, предпринимаются упорные попытки для достижения целей. Действия планомерны, продуманы, осторожны."
х0х3,"Мотивация достижения блокирована препятствиями и трудностями. Напряженность контролирующих спонтанность ""тормозных"" механизмов проявляется повышенной тревожностью и раздражительностью."
х0х4,"Неустойчивость состояния, затрудняющая целенаправленность поведения, создает эмоциональную напряженность."
х0х5,"Пассивность и осторожность мешают гармонизации отношений, которым придается идеальная окраска."
х0х6,"Пассивность, зависимость от значимых других, ощущение приниженности. Потребность в большей безопасности, в теплых отношениях, избавлении от проблем."
х0х7,"Состояние стресса в связи со сложившейся ситуацией. Трудности самореализации, ограничение независимости, стеснение свободы выбора решений. Стремление освободиться от помех."
х1,"Выраженный контроль над проявлениями чувств и поступков, раскованность в узком кругу близких контактов."
х1х0,"Дружелюбие и конформность, контролируемость чувств и поступков, избирательность в контактах, необходима спокойная обстановка."
х1х2,"Упорядоченность, методичность и самостоятельность действий. Потребность в сочувствии и понимании, самоуважении и уважении со стороны значимых окружающих."
х1х3,"Склонность к плодотворному сотрудничеству без притязаний на лидирующую позицию. Умение сглаживать конфликты, сдерживать собственные непосредственные реакции. Хороший самоконтроль при достаточной активности."
х1х4,"Подверженность средовым влияниям, потребность в сопричастности. Стремление к вживанию в разные социальные роли. Колебания настроения в зависимости от степени принятия окружением, успешности своих действий."
х1х5,"Сензитивность, эстетическая ориентированность, потребность в гармоничных отношениях, теплой привязанности."
х1х6,"Потребность в избегании лишних усилий, уюте, безопасности и теплых отношениях. Необходим покой и защищенность."
х1х7,"Неустойчивость. Осознанный контроль над спонтанными реакциями создает известную напряженность. Неуверенность в себе, в связи с этим повышенная ранимость, болезненное чувство уязвленного самолюбия делают поведение неровным."
х2,"Поведение настойчивое, требовательное, упорство в достижении целей, отстаивание своих позиций."
х2х0,"Оборонительная реакция в связи с ощущением угрозы, затруднениями в реализации своих планов. Тревожные опасения усиливают решимость довести дело до конца."
х2х1,"Аккуратность, методичность и самостоятельность в деятельности. Потребность в самоуважении и уважении со стороны значимых других."
х2х3,"Актуализация лидерских тенденций, упорство в преодолении трудностей, напряженность и чувство соперничества."
х2х4,"Обстоятельства способствуют неустойчивости самооценки, требуют самоутверждающегося поведения. Стремление повысить свою значимость в глазах окружающих."
х2х5,"Стремление преодолеть предубеждение и недоброжелательность окружающих; настороженность и недоверчивость во взаимоотношениях в связи с тенденцией к преувеличению значимости их мнения, сензитивность к критическим замечаниям. Упрямство и своеволие, возводимые в принцип. Изобретательность и богатство фантазии."
х2х6,"Раздражительность, мнительность в отношении высказываний окружающих на свой счет, упрямство в сочетании с обидчивостью. Проблема уязвленного самолюбия и нарушенного равновесия в отношениях с окружающими."
х2х7,"Упорство в отстаивании своей позиции, отсутствие склонности к компромиссам, упрямство и несговорчивость."
х3,"Активность в достижении поставленной цели, однако достигнутое в значительной степени обесценивается по мере приближения к желанной цели и становится жаль потраченных усилий."
х3х0,"Повышенная импульсивность, раздражительность. Состояние, близкое к стрессу. Активность не приводит к решению проблем и усугубляет конфликт."
х3х1,Высокая активность успешно контролируется сознанием. Внешняя сбалансированность дается ценой известного напряжения и может быть почвой для развития соматических дисфункций.
х3х2,"Активность в преодолении трудностей, доминантность в отношениях с окружающими, стремление к лидирующей позиции, вспыльчивость в конфликтных ситуациях."
х3х4,"Общительность, непостоянство в привязанностях, легкая переключаемость на другие виды деятельности, что может привести к поверхностности. Откликаемость на средовые воздействия, чувствительность к изменениям микроклимата в социуме."
х3х5,"Стремление к независимой позиции, оригинальность суждений, своеобразие интересов, увлеченность, потребность в ""особых"" переживаниях и отношениях, которым отдается предпочтение перед конкретными реальными целями."
х3х6,"Нежелание проявлять предприимчивость и практицизм, стремление к безопасности и комфорту, отсутствие выраженного честолюбия."
х3х7,"Самореализация и достижение цели затруднены из-за существенных препятствий, что способствует усилению стеничности."
х4,"Оптимистический настрой, стремление к ярким впечатлениям, поиски перемен и новизны, приключений и ярких переживаний."
х4х0,"Трудности выбора пути решения проблем, известная напряженность, причины которой не осознаются."
х4х1,"Податливость влиянию окружающих, изменчивость настроения в зависимости от реакций находящихся рядом людей. Стремление к установлению дружеских контактов. Самооценка зависит от успеха и мнения значимых других."
х4х2,Актуальность надежды на повышение социального статуса и материальной обеспеченности.
х4х3,"Активность, переходящая в разбросанность, торопливость. Раздражительность, вызванная медленным ходом событий. Переменчивость и недостаток целенаправленной настойчивости в достижении целей."
х4х5,"Богатое воображение, яркость чувств, потребность в необычных приключениях, интересных знакомствах, волнующих событиях, вызывающих заинтересованность и энтузиазм."
х4х6,"Неустойчивость, неуверенность в себе, боязливость, тревожные опасения непреодолимости существующих проблем; истинная причина конфликта — внутренняя — не осознается."
х4х7,"Активные, но недостаточно целенаправленные поиски разрешения конфликтной ситуации, истоки которой не полностью осознаны. Избыточная эмотивность мешает рассудочно подойти к проблеме. Поступки лишены планомерности и продуманности, решения могут быть опрометчивы, иррациональны."
х5,"Своеобразие самореализации, индивидуальный стиль решения проблем, трудности адаптации, связанные с индивидуалистичностью; нешаблонность подхода к решению проблем. Потребность в определенной ""социальной нише"" и тонком понимании со стороны окружающих. Сензитивность к средовым воздействиям."
х5х0,"Тревожная настороженность, пассивное выжидание, уход от конфликтов и непонимания окружающими в мир внутренних переживаний, мечты и фантазий, бегство от повседневности, стремление быть собой, сохранить индивидуальность. Избирательность в контактах."
х5х1,"Потребность в теплых отношениях, любви и понимании. Сентиментальность, идеализация объекта привязанности, эстетическая ориентированность. Застенчивость, бегство от житейских проблем в мир искусства и теплых межличностных отношений."
х5х2,"Недоверчивость, переживание чувства обиды, стремление улучшить впечатление о себе в глазах значимых окружающих. Сензитивность в отношении критических замечаний в свой адрес. Иррациональные способы противодействия недоброжелательности окружающих. Склонность преувеличивать враждебность отношения к себе других. Изобретательность и богатство фантазии. Стремление упрочить свою позицию."
х5х3,"Экспансивность высказываний и поведения, эмоциональная вовлеченность, стремление к переживанию сильных ощущений. Оригинальность и творческий подход в решениях. Настойчивость в отстаивании собственной индивидуальности, что несколько усложняет адаптацию."
х5х4,"Стремление к независимости позиции, оригинальность суждений, своеобразие интересов. Потребность в ""особых"" переживаниях и отношениях, которым отдается предпочтение перед конкретными и реальными целями."
х5х6,"Обостренная чувствительность к средовым воздействиям. Сужена зона жизненного комфорта. Потребность в дифференцированном, щадящем подходе. Избирательность, капризность, стремление к удовлетворению своих прихотливых вкусов."
х5х7,"Категоричность и субъективизм суждений в оценке ситуации, настойчивость в нереальных требованиях. Бескомпромиссность в отстаивании своеобразных убеждений. Ощущение своей непонятости, одиночества."
х6,"Чувство тревоги и неуверенности, физического перенапряжения. Страхи, обостренная мнительность, дискомфорт, потребность в отдыхе и расслаблении."
х6х0,"Пассивность, зависимость от значимых других, ощущение приниженности. Потребность в большей безопасности, теплых отношениях, избавлении от проблем."
х6х1,"Потребность в избегании лишних усилий, в уюте, безопасности и теплых отношениях. Необходим покой и защищенность."
х6х2,"Раздражительность, мнительность в отношении высказываний окружающих на свой счет, упрямство в сочетании с обидчивостью. Проблема уязвленного самолюбия и нарушенного равновесия в отношениях с окружающими."
х6х3,Ощущение избытка трудностей и бесполезности дальнейших усилий. Стремление к безопасности и комфорту. Отказ от реализации честолюбивых планов ценою потери спокойствия.
х6х4,"Неустойчивость состояния, неуверенность в себе, боязливость, тревожное ощущение непреодолимости препятствий. Стремление к устойчивому положению, уюту и спокойствию за счет активности других лиц, без затраты собственных усилий."
х6х5,"Чувственен. Желает наслаждаться предметами, доставляющими удовольствие, но отвергает всё безвкусное, вульгарное и грубое"
х6х7,"Эмоциональное и физическое перенапряжение, тенденция к самоуничижению, чувство приниженности. Потребность в покое и помощи."
х7,Конфликт или неудовлетворенность ситуацией.
х7х0,"Противодействие сложившейся ситуации, пессимистический настрой, стремление освободиться от напряженности, отстоять собственную позицию ограничением контактов."
х7х1,"Неустойчивость состояния, раздражительность в ответ на ситуацию, нарушающую покой и затрудняющую контакты. Чувствительность к средовым воздействиям; потребность в понимании, затрудненная выраженной избирательностью в межличностных контактах, обидчивостью."
х7х2,"Упорное отстаивание своего мнения, неуступчивость, категоричность в отстаивании собственной независимости, уверенность в своей правоте. Внешнеобвиняющая реакция на неблагоприятную ситуацию."
х7х3,"Самореализация и действия, направленные на достижения цели, затруднены из-за существенных препятствий, что вызывает усиление стенических реакций."
х7х4,"Активность носит недостаточно целенаправленный характер, что затрудняет разрешение конфликтной ситуации, истоки которой не полностью осознаются. Избыточная эмотивность мешает рассудочному овладению ситуацией. Поступки лишены планомерности и продуманности, решения могут быть опрометчивы, иррациональны."
х7х5,"Субъективизм и категоричность в оценке ситуации, неуступчивость в отстаивании своей независимости, своеобразных убеждений. Ощущение своей непонятости, одиночества."
х7х6,"Эмоциональное и физическое перенапряжение, чувство приниженности. Потребность в покое и помощи."
=0,"Известная напряженность в контактах с окружающими, стремление уйти от конфликта и избежать излишних волнений."
=0=1,"Избирательность в контактах, обособленность, стремление избегать глубоких привязанностей, чтобы не испытывать разочарования. Сосредоточенность на своих проблемах."
=0=2,"Настороженность, выжидательная позиция, попытка примириться с существующей ситуацией и найти в ней новые возможности."
=0=3,"Тревожные опасения, вынужденная сдержанность, контроль над поведением, стремление к избеганию конфликта."
=0=4,"Во избежание конфликтов проявляется тенденция к сдерживанию непосредственных реакций и ярких эмоциональных всплесков, позволительных лишь в контактах узкого круга."
=0=5,"Повышенная обидчивость, связанная с эгоцентричностью."
=0=6,"Потребность в большей эмоциональной вовлеченности, эротичность."
=0=7,Вынужденная необходимость пойти на компромисс ради сохранения добрых отношений с окружающими.
=1,Потребность в теплых контактах не является актуальной.
=1=0,"Потребность в эмоциональной вовлеченности, носящей поверхностный характер."
=1=2,Неудовлетворенная потребность в самоуважении и уважении со стороны значимых других. Напряженность взаимоотношений с близкими людьми.
=1=3,Трудности в достижении сотрудничества и гармоничных отношений.
=1=4,"Затруднения в попытке контролировать повышенную эмотивность, недостаточно учитывается ситуация и мнение окружающих."
=1=5,Трудности в межличностных контактах из-за повышенной ранимости и сосредоточенности на своих проблемах.
=1=6,"Застенчивость и пассивность, затрудняющие чувственную раскованность."
=1=7,"Уступчивость и пассивность, мешающие сохранить эмоциональную привязанность. Уступчивость. Самолюбивое отстаивание своих позиций в данный момент не актуально, оборонительные тенденции смягчены доверием к окружающим."
=2,""
=2=0,Тенденция скрыть свою неуверенность и стремление к избеганию конфликтов.
=2=1,"Уступчивость, обусловленная тем, что проявление упорства не уместно при сложившихся обстоятельствах. Напряженность в контактах узкого круга."
=2=3,"Стремление к сохранению миролюбивых отношений с окружающими, несмотря на внутренний протест."
=2=4,"Несмотря на трудности и препятствия, гибкость позиции способствует целенаправленности действий."
=2=5,"Тщательно скрываемая обидчивость, стремление занять гибкую и уступчивую позицию."
=2=6,Стремление примириться с трудностями и найти оптимальную зону комфорта.
=2=7,"Сдержанность в эмоциональных проявлениях, отказ от своих притязаний, уступчивость, обусловленная сложившимися обстоятельствами."
=3,Потребность в расслаблении и покое в связи с предшествовавшей избыточной активностью. Раздражительная слабость.
=3=0,"Ощущение непреодолимости препятствий, что вызывает потребность в покое."
=3=1,"Трудности достижения гармоничных отношений с окружающими создают чувство изолированности, дистресса."
=3=2,Препятствия и трудности вызывают чувство несчастливости и вынуждают примириться с ситуацией.
=3=4,"Потребность в поддержке и одобрении, спокойной обстановке, что позволило бы расширить сферу контактов и надеяться на лучшее в будущем."
=3=5,Эгоцентрическая сосредоточенность на своих огорчениях и обидах.
=3=6,Поиски выхода из сложной ситуации. Удовлетворенность физиологических потребностей.
=3=7,Ситуация вынуждает к сдержанности и подавлению сиюминутных потребностей.
=4,Потребность в ободрении и поощрении для сохранения надежды на улучшение ситуации в будущем. Осмотрительность в межличностных контактах во избежание разочарований.
=4=0,Потребность в общении при выраженной избирательности в межличностных контактах. Неуверенность в себе и стремление к избеганию конфликтов.
=4=1,"Избирательность в межличностных контактах, особенно — близких, интимных. Диссонанс между идеалом и реальностью приносит разочарование."
=4=2,"Упорство в достижении целей, рационализация, гибкость позиции несмотря на неудачи и трудности, субъективно переживаемые как избыточные."
=4=3,"Потребность в покое и ободрении для избавления от субъективно переживаемой неудовлетворенности; это связано с опасениями новых трудностей, мешающих реализации собственных намерений и расширению сферы деятельности."
=4=5,"Убежденность в реалистичности своих надежд, потребность в ободрении и поддержке. Обидчивость и сосредоточенность на своих проблемах."
=4=6,"Выраженная избирательность в межличностных отношениях, особенно в сфере близких, интимных отношений. Ирреальность притязаний."
=4=7,Убежденность и упрямство в отстаивании своих намерений несмотря на противодействие внешних обстоятельств. Нетерпимость к слабостям других в межличностных контактах узкого круга.
=5,"Стремление не обнаружить свою сентиментальность и обидчивость, эгоцентрическая сосредоточенность на своих проблемах."
=5=0,"Готовность к эмоциональным контактам, но есть чувство изолированности от других и одиноким."
=5=1,"Ощущение изолированности и одиночества. Потребность в ярких эмоциональных переживаниях, эгоцентрическая сосредоточенность на своих проблемах, обидчивость."
=5=2,"Сдержанность, за которой скрывается обида и неудовлетворенность. Защитный механизм рационализации уменьшает напряженность."
=5=3,"Эгоцентрическая обидчивость, ощущение изолированности и непо-нятости окружающими, отсутствия поддержки."
=5=4,"Эгоцентрическая обидчивость; убежденность в том, что надежды и замыслы осуществимы, требующая поддержки и ободрения."
=5=6,"Эгоцентрическая обидчивость, эмоциональная сдержанность. Физиологические потребности в зоне комфорта."
=5=7,Чувства подменяются рассуждательством.
=6,Физиологические потребности в зоне комфорта.
=6=0,Стремление к бесконфликтному общению и физиологическому комфорту.
=6=1,"Затруднения в межличностных контактах узкого круга, физиологические потребности в зоне комфорта."
=6=2,Защитный механизм рационализации задействован в связи с неудовлетворенностью своей социальной позицией. Физиологические потребности в зоне комфорта.
=6=3,"Блокирована потребность в самореализации и достижении цели, стремление оградить себя от дополнительных волнений. Физиологические потребности в зоне комфорта, но не окрашены позитивными переживаниями."
=6=4,Выраженная разборчивость и избирательность в межличностных контактах. Нереальные требования к объекту влечения.
=6=5,Эгоцентрическая обидчивость. Эмоциональная сдержанность. Физиологическая сфера не блокирована.
=6=7,Вынужденная уступчивость. Физиологические потребности в зоне относительного комфорта. Трудности вынуждают проявить уступчивость и временно отказаться от реализации своих намерений.
=7,""
=7=0,Для сохранения социальных связей и теплых отношений проявляется уступчивость.
=7=1,"Эмоциональная заторможенность. Сдержанность в притязаниях и надеждах, вынужденный отказ от реализации некоторых потребностей."
=7=2,"В связи с обстоятельствами, ограничивающими свободу действий, вынужденный отказ от реализации намерений и упорства в отстаивании своей позиции."
=7=3,"В связи с обстоятельствами, ограничивающими свободу действий, вынужденный отказ от самореализации."
=7=4,"Убежденность в реальности своих планов и упорство в их достижении несмотря на давление обстоятельств, вынуждающих идти на компромиссные решения. Избыточная критичность в оценке лиц ближайшего окружения."
=7=5,"Сложность ситуации искажает непосредственность чувств, подменяя их интеллектуальной переработкой, тенденцией к раздумьям."
=7=6,Вынужденная установка на компромиссное поведение и временный отказ от реализации некоторых намерений. Физиологические потребности не блокированы.
-0,"Выраженная общительность, активность, обращенность в мир окружающих явлений жизни."
-0А,"(Имеется в виду цветовой ряд, в котором 0-й цвет помечается как ""Тревога"" при наличии на первых позициях ахроматических или смешанных цветов - 6, 7 или если перед 0 стоит один из ярких эталонов)."
-0-1,"Отказ от расслабления и уступок, стремление сохранить активность, овладеть эмоциями. Нет возможности реализовать потребность в любви, понимании, дружелюбных отношениях, беспокойная неудовлетворенность, связанная с осознанием своей зависимости от объекта привязанности. Раздражительность и трудности концентрации внимания."
-0-2,Нет возможности для реализации потребности в отстаивании своей позиции и права на уважение. Противодействие средовому давлению вызвало перенапряжение.
-0-3,"Болезненно переживается отсутствие возможности реализовать потребность в самореализации и достижении желаемых целей, что является почвой для гневных вспышек, невротизации, психосоматических расстройств (кардиалгии). Ощущение бессилия перед существующими препятствиями. Чувство страха, нервное истощение, беспокойная раздражительность."
-0-4,"Состояние стресса в связи с блокировкой непосредственного поведения, невозможностью реализовать потребность в радостном общении, беззаботном существовании. Неуверенность, тревожная настороженность. Болезненно переживается неудовлетворенное тщеславие, потребность нравиться окружающим. Отказ от компромиссов, упорство в ирреальных притязаниях."
-0-5,"Стресс, контролируемый тонкостью суждений и контролем рассудка над эмоциями. Тенденция к излишней доверчивости в качестве защитного механизма вызывает повышенную требовательность к искренности окружающих, особенно в контактах узкого круга. Контролируемая сензитивность."
-0-6,"Подавление физиологических потребностей. Неудовлетворенная потребность в отношениях, полных взаимопонимания, с тенденцией сохранить свое превосходство."
-0-7,"Повышенная чувствительность к внешним раздражителям. Потребность в преодолении ограничений, в том числе дистанции, отделяющей от окружающих; стремление к самостоятельности в принятии решений."
-1,"Стремление справиться с угнетенностью, овладеть собой, сохраняя активность. Блокирована потребность теплых межличностных отношениях, зависимость от объекта глубокой привязанности. Озабоченность и раздражительная несдержанность могут ухудшить концентрацию внимания. Беспокойная неудовлетворенность."
-1-0,"Нетерпеливость, беспокойство, угнетенность. Блокирована потребность в теплых отношениях и любви; стремление избежать отношений, обязывающих к ответственности. Неустойчивость состояния, беспокойные попытки изменить ситуацию, что может отразиться на концентрации внимания, работоспособности."
-1-2,"Стресс, ослабляющий волю и настойчивость. Стремление избавиться от ситуации, оказывающей чрезмерное давление. Перенапряжение от усилий, направленных на преодоление существующих трудностей, воспринимается как избыточное и бесполезное. Разлад в сфере значимых межличностных контактов."
-1-3,"Чувство несчастливости, вызванное разладом в сфере значимых межличностных контактов. Гневные реакции. Блокированность сексуальной потребности или иной значимой сферы самореализации. Возможность кардиалгии. Беспомощность с проявлениями раздражительности. Нарушен баланс между тенденцией к активности и контролем."
-1-4,"Состояние стресса, переживание разочарованности. Противоречивое сочетание разнонаправленных тенденций — стремление уйти от обременительных отношений и страх потерять объект привязанности."
-1-5,"Болезненно переживается отсутствие возможности реализовать потребность в любви и теплых отношениях; стремление избавиться от гнетущего состояния, нетерпеливость; потребность в понимании и доброжелательных отношениях неудовлетворена. Напряженность вызывает чувство раздражения, ощущение непонятости значимыми окружающими."
-1-6,"Стресс, выраженная неудовлетворенность, которая вызвана чуством приниженности и проявляется ограничительным поведением. Зависимость позиции, неуверенность, повышенная чувствительность к средовым воздействиям. Выраженный контроль рассматривается как единственная гарантия самоутверждения и отстаивания своих позиций. Основные проблемы — недостаток признания и повышенный самоконтроль."
-1-7,"Стресс. Блокирована потребность в независимости. Ситуация вызывает неудовлетворенность. Повышенный самоконтроль помогает скрыть свою ранимость. Сложившиеся отношения тягостны, однако потребность в свободе действий сталкивается с опасениями в разрыве контактов, создающих атмосферу доброжелательности и сотрудничества. Беспокойство, нарушающее продуктивную концентрацию внимания."
-2,"Угнетена способность к отстаиванию своей позиции. Неудовлетворенность своим социальным статусом, трезвая, рассудочная оценка происходящего, однако ослабление воли мешает изменить ситуацию. Нежелание предпринять что-либо."
-2-0,"Блокирована потребность в отстаивании своих позиций. Способность к сопротивлению противодействующим внешним факторам исчерпана, однако установка на достижение целей остается устойчивой. Субъективное отношение к ситуации мешает оценить ее трезво, что создает внутренний конфликт между ригидностью установки и неразрешимостью проблемы."
-2-1,"Блокирована потребность в позитивной самооценке и уважении со стороны референтной группы. Противодействие среды воспринимается как враждебное. Ощущение утраты воли и жизнестойкости, потребность в избавлении от данной ситуации. Стресс и разлад межличностных отношений."
-2-3,"Состояние гневливой раздражительности в связи с субъективным ощущением враждебности окружающих, высокий уровень невротизации, возможны кардиалгии. Давление внешних обстоятельств воспринимается как невыносимое, требования — как неразумные. Ощущение собственного бессилия перед лицом несправедливости."
-2-4,"Стресс, вызванный конфликтом между надеждой и необходимостью (желаниями и реальностью), в связи с состоянием выраженного разочарования. Тревожная неуверенность усиливает стремление уйти от ответственных решений, переключиться на малозначимые, но отвлекающие от проблем занятия. Нерешительность, вызванная разочарованием."
-2-5,"Нет возможности реализовать потребность в уважении и понимании. Субъективное переживание униженности, отсутствия доверия и расположения к себе; в связи с этим страдает самоуважение. Без поддержки и признания трудно принять необходимое решение и избавиться от унижающей достоинство ситуации."
-2-6,"Эмоциональная напряженность связана с перенапряжением избыточного самоконтроля, используемого как инструмент для завоевания расположения и уважения других. Несмотря на недостаток признания ригидно сохраняется установка на исключительность своей позиции. Желание избавиться от неприятной ситуации не может служить поводом для компромиссных решений. Упорство в притязаниях вопреки печальной реальности."
-2-7,Блокирована потребность в независимости. Стремление избавиться от ограничений. В противодействии сильному давлению внешних обстоятельств не достает целенаправленности.
-3,"Блокирована потребность в самореализации и достижении целей, вызвавшая перевозбуждение. Повышенная раздражительность, гневные реакции, неврастенические проявления (кардиалгии). Ощущение нависшей угрозы. Чувство собственного бессилия и переутомления перед лицом препятствий, стоящих на пути к реализации собственных намерений."
-3-0,"Проблема сдерживания противодействия обстоятельствам, вызванного блокировкой потребности к самореализации и достижению целей. Стремление к сдерживанию гипертимных реакций. Нетерпеливость и раздражительность. Эмоциональное напряжение может проявиться психосоматическим вариантом дезадаптации (гипертония, кардиалгия). Страх потерь, субъективизм в оценке ситуации. Бессилие перед лицом препятствий, стоящих на пути к реализации собственных намерений."
-3-1,"Подавленное противодействие обстоятельствам, препятствующим свободной самореализации личности и достижению целей. Неспособность к релаксации. Нетерпеливость, раздражительность. Противоречие между разнонаправленными тенденциями (высокой спонтанностью и повышенным самоконтролем) приводит к избыточной эмоциональной напряженности. Физиологический вариант дезадаптации (гипертония, кардиалгия). Нарушена гармония в сфере значимых межличностных отношений. Чувство несчастливости, чувство бессилия что-либо исправить, наладить."
-3-2,"Выраженный стресс в связи с блокированностью самореализации. Нет возможности реализовать потребность достижения успеха, утрачена лидирующая позиция в сложившейся ситуации. Проблема уязвленного самолюбия, неудовлетворенность своим социальным статусом. Ощущение собственного бессилия перед лицом препятствий, которые субъективно воспринимаются как неодолимые, и враждебностью окружающих. Выраженное общее перенапряжение с тенденцией к функциональным нарушениям в сердечно-сосудистой системе. Негодование и беспомощность, которые могут компенсироваться за счет преобладающих установок (см. первые строки интерпретации)."
-3-4,"Стресс, проявляющийся выраженной эмоциональной неустойчивостью и тревогой, связан с разочарованием. Защитный механизм — вытеснение истинных причин конфликта. Стремление сохранить хорошее впечатление о себе в кругу значимых межличностных контактов. Высокие притязания сталкиваются с невозможностью реализации своих намерений и надежд. Чувство обманутого доверия, ощущение своего положения как жертвы злой воли окружающих людей. Своя доля вины в конфликте перекладывается на других."
-3-5,"Болезненно переживается отсутствие возможности реализовать потребность в сохранении собственной индивидуальности и ""социальной ниши"", создающей ощущение понимания и безопасности. Состояние крайней разочарованности, неудовлетворенности. Потребность в сочувствии и ощущение собственного бессилия."
-3-6,"Напряженность, связанная с блокированностью физиологических потребностей, чрезмерно ограничиваемых. Сложившаяся ситуация ущемляет чувство независимости. Выраженный самоконтроль в сфере чувственности приводит к изоляции. Стремление к завоеванию признания и уважения со стороны значимых других. Неуверенность усугубляется недостатком внимания к своей персоне."
-3-7,"Стресс, вызванный разочарованиями и препятствиями на пути к реализации своих намерений. Противодействие обстоятельствам, препятствующим свободной самореализации личности и раздражение сочетаются с неуверенностью. Потребность в избавлении от ограничений и в обретении свободы принятия решений. Фрустрирована потребность в независимости."
